Acc,F1,Precision,Recall,AUC,Loss
0.711340206185567,0.7627118644067796,0.8152173913043478,0.7165605095541401,0.7663053600029799,0.5998548567295074
0.7711340206185567,0.8177339901477831,0.8440677966101695,0.7929936305732485,0.8500577345699706,0.49777475371956825
0.8268041237113402,0.8613861386138614,0.8938356164383562,0.8312101910828026,0.888721272395426,0.4566350784152746
0.8144329896907216,0.8548387096774194,0.8660130718954249,0.8439490445859873,0.8791298841583789,0.43696495704352856
0.8082474226804124,0.8507223113964687,0.8576051779935275,0.8439490445859873,0.8802287033933027,0.44730106741189957
0.8536082474226804,0.8871224165341812,0.8857142857142857,0.8885350318471338,0.9083324021305919,0.41506632044911385
0.8494845360824742,0.8820678513731826,0.8950819672131147,0.8694267515923567,0.9222445710880172,0.39498227275907993
0.8597938144329897,0.8927444794952681,0.884375,0.9012738853503185,0.9337914850821322,0.3325050687417388
0.8907216494845361,0.9162717219589257,0.9090909090909091,0.9235668789808917,0.9367154616903192,0.3244511093944311
0.865979381443299,0.8963317384370018,0.8977635782747604,0.8949044585987261,0.9377397847059261,0.31983053032308817
0.8680412371134021,0.8984126984126983,0.8955696202531646,0.9012738853503185,0.9465303385853168,0.3090961314737797
0.8824742268041237,0.909090909090909,0.9105431309904153,0.9076433121019108,0.9414832197265989,0.30728577822446823
0.8927835051546392,0.918238993710692,0.906832298136646,0.9299363057324841,0.9509628636346704,0.32726434618234634
0.8721649484536083,0.9006410256410257,0.9064516129032258,0.8949044585987261,0.9444258203896152,0.2970284204930067
0.8907216494845361,0.9167974882260597,0.9040247678018576,0.9299363057324841,0.9525645323499832,0.29588957503437996
0.8762886597938144,0.9047619047619049,0.9018987341772152,0.9076433121019108,0.9422095578649384,0.29433955904096365
0.911340206185567,0.9337442218798151,0.9044776119402985,0.964968152866242,0.9679852497485752,0.26297051180154085
0.8742268041237113,0.9060092449922958,0.8776119402985074,0.9363057324840764,0.9468841956270718,0.3201963948085904
0.8721649484536083,0.9012738853503184,0.9012738853503185,0.9012738853503185,0.9476291578202407,0.2821751516312361
0.8845360824742268,0.9105431309904153,0.9134615384615384,0.9076433121019108,0.9441650836220062,0.3052156623452902
