Acc,F1,Precision,Recall,AUC,Loss
0.4536082474226804,0.5309734513274337,0.5928853754940712,0.4807692307692308,0.4147306210167481,0.7359873168170452
0.5072164948453608,0.5996649916247906,0.6280701754385964,0.5737179487179487,0.46948643841707427,0.7137608230113983
0.5195876288659794,0.6084033613445378,0.6395759717314488,0.5801282051282052,0.49347858307395875,0.6960373856127262
0.5360824742268041,0.6365105008077545,0.6416938110749185,0.6314102564102564,0.50138950644731,0.6941313929855824
0.5608247422680412,0.6677067082683308,0.6504559270516718,0.6858974358974359,0.5497350674373795,0.678837563842535
0.6,0.6959247648902821,0.6809815950920245,0.7115384615384616,0.594968133985475,0.6611767821013927
0.6041237113402061,0.7099697885196375,0.6714285714285714,0.7532051282051282,0.6211093819475323,0.6473304107785225
0.6247422680412371,0.7323529411764705,0.6766304347826086,0.7980769230769231,0.6429987401808211,0.6368890292942524
0.6659793814432989,0.7582089552238807,0.7094972067039106,0.8141025641025641,0.6750592856084184,0.6267231479287148
0.668041237113402,0.7642752562225477,0.7035040431266847,0.8365384615384616,0.6613309619089965,0.6405569054186344
0.6659793814432989,0.7617647058823529,0.7038043478260869,0.8301282051282052,0.6754390840373499,0.6356660202145576
0.668041237113402,0.7670043415340086,0.6992084432717678,0.8493589743589743,0.7057395879650216,0.6086130887269974
0.709278350515464,0.7971223021582733,0.7232375979112271,0.8878205128205128,0.7499444197421076,0.6000035107135773
0.6804123711340206,0.7710487444608567,0.7150684931506849,0.8365384615384616,0.7281199051430263,0.5938828699290752
0.6865979381443299,0.7790697674418605,0.7127659574468085,0.8589743589743589,0.7388468949162591,0.6011083908379078
0.7463917525773196,0.8193832599118943,0.7560975609756098,0.8942307692307693,0.7733437083148065,0.5845171585679054
0.7278350515463917,0.810344827586207,0.734375,0.9038461538461539,0.7732232844227063,0.5825783722102642
0.7175257731958763,0.7988252569750367,0.7371273712737128,0.8717948717948718,0.762431451015266,0.5715272594243288
0.7319587628865979,0.8099415204678363,0.7446236559139785,0.8878205128205128,0.7753816511041944,0.5706182308495045
0.7257731958762886,0.8075253256150506,0.7361477572559367,0.8942307692307693,0.7579479768786127,0.5819652937352657
