Acc,F1,Precision,Recall,AUC,Loss
0.6707818930041153,0.746031746031746,0.7605177993527508,0.7320872274143302,0.7119796091758709,0.5999048873782158
0.7901234567901234,0.8491124260355029,0.8084507042253521,0.8940809968847352,0.8329651656754461,0.46125150099396706
0.7942386831275721,0.8529411764705881,0.807799442896936,0.9034267912772586,0.8468233739261776,0.45897988229990005
0.779835390946502,0.8366412213740458,0.8203592814371258,0.8535825545171339,0.8468044935334655,0.4665324538946152
0.7880658436213992,0.8464977645305514,0.8114285714285714,0.8847352024922118,0.8436703483432455,0.45070501044392586
0.7839506172839507,0.8444444444444444,0.8050847457627118,0.8878504672897196,0.8408571698291324,0.47865835949778557
0.7942386831275721,0.8507462686567164,0.8166189111747851,0.8878504672897196,0.8418389502501651,0.4465897474437952
0.7818930041152263,0.8422619047619048,0.8062678062678063,0.881619937694704,0.8411970168979515,0.4557072427123785
0.7901234567901234,0.8486646884272996,0.8101983002832861,0.8909657320872274,0.8444444444444444,0.44573624432086945
0.7962962962962963,0.8524590163934427,0.8171428571428572,0.8909657320872274,0.8467856131407532,0.4465063977986574
0.7880658436213992,0.8491947291361639,0.8011049723756906,0.9034267912772586,0.8462192013593884,0.4801443126052618
0.7839506172839507,0.8406676783004552,0.8195266272189349,0.8629283489096573,0.841933352213726,0.4721831474453211
0.7942386831275721,0.8511904761904762,0.8148148148148148,0.8909657320872274,0.8467478523553289,0.4700505752116442
0.7962962962962963,0.8524590163934427,0.8171428571428572,0.8909657320872274,0.8444633248371567,0.46755342930555344
0.7818930041152263,0.8441176470588235,0.7994428969359332,0.8940809968847352,0.8435193052015482,0.45680135302245617
0.7962962962962963,0.8533333333333333,0.8135593220338984,0.897196261682243,0.8432360993108656,0.442962983623147
0.7839506172839507,0.8411497730711043,0.8176470588235294,0.8660436137071651,0.845067497403946,0.4585530757904053
0.7962962962962963,0.8554744525547445,0.804945054945055,0.9127725856697819,0.8463702445010856,0.45607179030776024
0.7880658436213992,0.8464977645305514,0.8114285714285714,0.8847352024922118,0.8423298404606816,0.47010111436247826
0.7860082304526749,0.844776119402985,0.8108882521489972,0.881619937694704,0.8470121778532993,0.45852224342525005
