Acc,F1,Precision,Recall,Loss
0.6474226804123712,0.7315541601255887,0.728125,0.7350157728706624,0.6409035082906485
0.7443298969072165,0.7926421404682275,0.8434163701067615,0.7476340694006309,0.5372163392603397
0.7752577319587629,0.8204283360790775,0.8586206896551725,0.7854889589905363,0.5125171970576048
0.777319587628866,0.8246753246753247,0.8494983277591973,0.8012618296529969,0.4774670470505953
0.7896907216494845,0.8327868852459017,0.8668941979522184,0.8012618296529969,0.5007128044962883
0.797938144329897,0.8419354838709677,0.8613861386138614,0.8233438485804416,0.4362178575247526
0.8020618556701031,0.8485804416403787,0.8485804416403786,0.8485804416403786,0.4294701963663101
0.8103092783505155,0.8557993730407524,0.8504672897196262,0.861198738170347,0.4146170113235712
0.8144329896907216,0.8571428571428572,0.8626198083067093,0.8517350157728707,0.42326669208705425
0.8123711340206186,0.8584758942457232,0.8466257668711656,0.8706624605678234,0.4145935792475939
0.8123711340206186,0.855784469096672,0.8598726114649682,0.8517350157728707,0.42977037839591503
0.8309278350515464,0.8706624605678234,0.8706624605678234,0.8706624605678234,0.3846625182777643
0.8412371134020619,0.8809891808346214,0.8636363636363636,0.8990536277602523,0.38089535664767027
0.8412371134020619,0.8798751950078002,0.8703703703703703,0.889589905362776,0.3821805212646723
0.8329896907216495,0.8728414442700158,0.86875,0.8769716088328076,0.4070356758311391
0.8268041237113402,0.8703703703703703,0.851963746223565,0.889589905362776,0.38186415284872055
0.8474226804123711,0.8850931677018633,0.8715596330275229,0.8990536277602523,0.3847577255219221
0.8247422680412371,0.8678071539657853,0.8558282208588958,0.8801261829652997,0.39285691268742085
0.8329896907216495,0.8732394366197184,0.8664596273291926,0.8801261829652997,0.3720256555825472
0.843298969072165,0.881619937694704,0.8707692307692307,0.8927444794952681,0.3559544328600168
