Acc,F1,Precision,Recall,Loss
0.7051546391752578,0.8064952638700947,0.711217183770883,0.93125,0.5922862254083157
0.7319587628865979,0.8224043715846995,0.7305825242718447,0.940625,0.49485674127936363
0.7711340206185567,0.8310502283105023,0.8100890207715133,0.853125,0.5106128416955471
0.7896907216494845,0.8454545454545453,0.8205882352941176,0.871875,0.4951080195605755
0.7731958762886598,0.8401162790697674,0.7853260869565217,0.903125,0.4935217462480068
0.7896907216494845,0.8468468468468469,0.815028901734104,0.88125,0.47036938928067684
0.7711340206185567,0.8421052631578947,0.7728459530026109,0.925,0.5142778605222702
0.7855670103092783,0.8438438438438439,0.8121387283236994,0.878125,0.48734935000538826
0.7835051546391752,0.8411497730711045,0.8152492668621701,0.86875,0.4851729962974787
0.7814432989690722,0.8454810495626822,0.7923497267759563,0.90625,0.4761248975992203
0.7793814432989691,0.8405365126676603,0.8034188034188035,0.88125,0.47873891703784466
0.7876288659793814,0.8432267884322678,0.8219584569732937,0.865625,0.46611588448286057
0.7649484536082474,0.8403361344537815,0.7614213197969543,0.9375,0.48735265620052814
0.7649484536082474,0.8251533742331287,0.8102409638554217,0.840625,0.4861632511019707
0.7835051546391752,0.8444444444444446,0.8028169014084507,0.890625,0.48187494464218616
0.7731958762886598,0.8419540229885059,0.7792553191489362,0.915625,0.48792641051113605
0.7917525773195876,0.8443759630200307,0.8328267477203647,0.85625,0.4926528800278902
0.7835051546391752,0.8489208633093526,0.7866666666666666,0.921875,0.483516002073884
0.7711340206185567,0.8330827067669172,0.8028985507246377,0.865625,0.4912614990025759
0.7835051546391752,0.8421052631578948,0.8115942028985508,0.875,0.4677158258855343
